id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
1013,2018-03-01,,One year,Yes,Electronic check,20.75,485.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,0
1015,2019-11-01,,Month-to-month,Yes,Mailed check,50.15,160.85,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,0
1017,2014-03-01,,Two year,No,Mailed check,58.65,4145.25,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
11,2019-01-01,,Month-to-month,Yes,Mailed check,49.95,587.45,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,0
12,2018-10-01,,Two year,No,Credit card (automatic),18.95,326.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
13,2015-04-01,,One year,No,Credit card (automatic),100.35,5681.1,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0
14,2015-09-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
15,2018-01-01,,Month-to-month,Yes,Electronic check,105.5,2686.05,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
16,2014-05-01,,Two year,No,Credit card (automatic),113.25,7895.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
17,2015-10-01,,One year,No,Mailed check,20.65,1022.95,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
18,2014-03-01,,Two year,No,Bank transfer (automatic),106.7,7382.25,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0
19,2019-01-01,2019-11-01,Month-to-month,No,Credit card (automatic),55.2,528.35,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,1
20,2018-05-01,,Month-to-month,Yes,Electronic check,90.05,1862.9,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,0
21,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,No,1
22,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
23,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
24,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,0
25,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0
26,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
27,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
28,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,1
29,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
30,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,1
31,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,0
32,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,0
33,2017-11-01,,One year,No,Mailed check,66.15,1874.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
34,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
35,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,DSL,No,No,No,No,No,No,Male,1,No,No,No,0
36,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
37,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
38,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,0
39,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
40,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
41,2019-04-01,,One year,No,Mailed check,49.55,475.7,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
42,2014-04-01,,Two year,Yes,Credit card (automatic),69.2,4872.35,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
43,2018-09-01,,One year,No,Mailed check,20.75,418.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
44,2014-11-01,,Two year,Yes,Credit card (automatic),79.85,4861.45,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,0
45,2019-01-01,,Month-to-month,Yes,Electronic check,76.2,981.45,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,Yes,0
46,2016-01-01,,Month-to-month,Yes,Electronic check,84.5,3906.7,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
47,2019-12-01,,Month-to-month,No,Mailed check,49.25,97.0,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,0
48,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,80.65,144.15,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
49,2015-10-01,,Two year,Yes,Credit card (automatic),79.75,4217.8,DSL,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
50,2014-05-01,,Two year,Yes,Credit card (automatic),64.15,4254.1,DSL,Yes,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,0
51,2016-07-01,,Month-to-month,Yes,Electronic check,90.25,3838.75,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,0
52,2018-09-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,1
53,2018-01-01,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,DSL,Yes,No,No,Yes,Yes,No,Female,1,Yes,No,Yes,0
54,2019-03-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,1
55,2015-02-01,,One year,Yes,Credit card (automatic),74.85,4456.35,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,1,Yes,Yes,No,0
56,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,95.45,1752.55,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,1
57,2014-11-01,,One year,Yes,Credit card (automatic),99.65,6311.2,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
58,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
59,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
60,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
61,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
62,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,0
63,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,No,0
64,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
65,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
66,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,0
67,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,0
68,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
69,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
70,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
71,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
72,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
73,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
74,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
75,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0
76,2015-06-01,,One year,No,Electronic check,110.5,6139.5,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
77,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,0
78,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
79,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
80,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
81,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,1
82,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,0
83,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,1
84,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
85,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
86,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,0
87,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,0
88,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
89,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
90,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,No,0
91,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
92,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,0
93,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
94,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
95,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
96,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,1
97,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
98,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
99,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
100,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,1
101,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
102,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
103,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,No,0
104,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
105,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
106,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
107,2017-06-01,,One year,No,Mailed check,30.15,927.65,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
108,2016-07-01,,One year,No,Mailed check,94.35,3921.3,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
109,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
110,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,1
111,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
112,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,0
113,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,1
114,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
115,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,0
116,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
117,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
118,2016-09-01,,Two year,No,Mailed check,20.65,835.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
119,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
120,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
121,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
122,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,1
123,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
124,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
125,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
126,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,1
127,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,0
128,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
129,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
130,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
131,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,1
132,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
133,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,1
134,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
135,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
136,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,0
137,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
138,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
139,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1
140,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,0
141,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,1
142,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,0
143,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,0
144,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,0
145,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
146,2019-11-01,,One year,No,Mailed check,19.6,61.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
147,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
148,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,0
149,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,0
150,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
151,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
152,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
153,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
154,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
155,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,0
156,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,0
157,2018-04-01,,One year,No,Mailed check,20.15,419.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
158,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,0
159,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
160,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,0
161,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,1
162,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
163,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,0
164,2019-03-01,,One year,No,Mailed check,20.6,233.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
165,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
166,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
167,2014-02-01,,Two year,Yes,Bank transfer (automatic),89.05,6254.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
168,2015-03-01,2020-01-01,Month-to-month,Yes,Electronic check,45.3,2651.2,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,No,1
169,2018-10-01,,Month-to-month,No,Electronic check,20.4,321.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
170,2016-07-01,,One year,Yes,Bank transfer (automatic),84.25,3539.25,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,Yes,No,No,0
171,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,104.4,242.8,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,1
172,2018-12-01,,Two year,No,Mailed check,81.95,1181.75,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
173,2015-05-01,2019-10-01,One year,Yes,Bank transfer (automatic),94.85,5000.2,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,No,1
174,2017-06-01,,One year,No,Bank transfer (automatic),20.55,654.55,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
175,2017-04-01,,Month-to-month,No,Electronic check,24.7,780.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
176,2018-07-01,2019-10-01,Month-to-month,Yes,Mailed check,74.45,1145.7,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes,1
177,2019-06-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Fiber optic,Yes,No,No,No,No,No,Female,1,No,No,No,1
